Date,Team,HomeTeam,AwayTeam,PDO,SCF,SCA,SCF%,GF,GA,GF%,HDCF,HDCA,HDCF%
2013-10-26,St Louis Blues,Predators,Blues,1.148,28.09,21.11,57.09,4.26,0.0,100.00,5.61,6.05,48.11
2013-10-26,Washington Capitals,Flames,Capitals,0.919,12.69,15.12,45.64,2.03,4.9,29.30,2.98,7.02,29.79
2013-10-26,New Jersey Devils,Bruins,Devils,0.924,17.58,16.26,51.94,0.0,1.98,0.00,2.01,5.01,28.57
2013-10-26,Philadelphia Flyers,Islanders,Flyers,1.062,38.95,21.23,64.73,3.23,0.95,77.24,10.07,4.44,69.4
2013-10-26,Winnipeg Jets,Stars,Jets,0.968,32.25,24.96,56.37,0.0,0.92,0.00,13.04,6.39,67.12
2013-10-26,Edmonton Oilers,Coyotes,Oilers,1.002,19.66,8.61,69.54,4.14,2.86,59.17,8.31,3.81,68.55
2013-10-26,Pittsburgh Penguins,Maple Leafs,Penguins,0.954,28.04,9.67,74.36,0.0,0.94,0.00,10.47,4.86,68.28
2013-10-26,New York Rangers,Red Wings,Rangers,0.984,18.08,13.69,56.9,1.01,0.94,51.74,12.16,3.86,75.88
2013-10-26,Buffalo Sabres,Lightning,Sabres,1.074,12.37,17.23,41.8,2.07,1.87,52.55,3.13,5.62,35.8
2013-10-26,San Jose Sharks,Canadiens,Sharks,1.032,25.11,9.07,73.46,1.08,0.0,100.00,13.24,4.57,74.34
2013-10-26,Minnesota Wild,Blackhawks,Wild,1.146,14.21,21.27,40.05,4.25,1.87,69.46,5.56,9.63,36.62
2013-10-27,Anaheim Ducks,Blue Jackets,Ducks,1.052,14.52,19.59,42.57,3.12,1.87,62.59,7.33,5.45,57.35
2013-10-27,Winnipeg Jets,Avalanche,Jets,1.007,26.4,24.51,51.85,2.07,2.81,42.39,8.51,10.19,45.51
2013-10-27,Tampa Bay Lightning,Panthers,Lightning,0.964,19.9,16.75,54.29,2.13,2.83,43.01,7.81,5.22,59.96
2013-10-27,Edmonton Oilers,Kings,Oilers,0.976,11.59,22.61,33.89,0.0,0.92,0.00,3.2,9.19,25.8
2013-10-27,San Jose Sharks,Senators,Sharks,1.13,18.99,14.1,57.39,4.26,0.95,81.74,5.55,3.48,61.47
2013-10-28,Chicago Blackhawks,Wild,Blackhawks,1.111,22.07,24.31,47.58,3.16,0.92,77.39,7.86,8.02,49.52
2013-10-28,Montreal Canadiens,Rangers,Canadiens,1.057,14.9,19.64,43.14,1.08,0.0,100.00,6.55,10.07,39.39
2013-10-28,Washington Capitals,Canucks,Capitals,1.044,14.41,21.88,39.71,2.07,2.81,42.39,3.01,4.57,39.7
2013-10-28,Pittsburgh Penguins,Hurricanes,Penguins,1.111,24.77,11.85,67.65,3.19,0.0,100.00,10.81,5.36,66.85
2013-10-28,Dallas Stars,Sabres,Stars,1.043,17.54,8.94,66.23,3.18,1.87,62.92,7.66,4.44,63.32
2013-10-29,Anaheim Ducks,Flyers,Ducks,1.056,20.42,19.07,51.71,3.08,0.94,76.56,11.48,9.86,53.8
2013-10-29,Winnipeg Jets,Blues,Jets,0.923,23.01,9.62,70.52,0.0,1.89,0.00,8.52,1.87,82.01
2013-10-29,Los Angeles Kings,Coyotes,Kings,0.908,31.22,16.46,65.48,0.0,1.93,0.00,11.42,1.01,91.86
2013-10-29,Tampa Bay Lightning,Devils,Lightning,0.942,7.99,14.75,35.12,0.0,0.99,0.00,5.06,4.86,51.01
2013-10-29,Toronto Maple Leafs,Oilers,Maple Leafs,1.166,28.45,29.35,49.22,4.26,0.0,100.00,12.52,6.64,65.35
2013-10-29,New York Rangers,Islanders,Rangers,0.958,11.54,18.63,38.25,1.06,1.87,36.13,5.33,3.69,59.09
2013-10-29,Ottawa Senators,Blackhawks,Senators,0.994,17.69,23.03,43.44,4.16,4.73,46.78,4.14,10.13,28.98
2013-10-29,Dallas Stars,Canadiens,Stars,0.937,12.98,17.87,42.08,1.01,1.93,34.43,8.13,6.86,54.26
2013-10-30,Boston Bruins,Penguins,Bruins,0.992,16.62,21.25,43.88,1.01,1.93,34.36,3.13,8.48,26.99
2013-10-30,Toronto Maple Leafs,Flames,Maple Leafs,1.034,19.91,26.91,42.52,2.13,1.9,52.85,11.07,12.54,46.89
2013-10-30,Detroit Red Wings,Canucks,Red Wings,1.033,27.67,18.96,59.34,2.07,0.94,68.67,9.72,8.43,53.55
2013-10-30,San Jose Sharks,Kings,Sharks,1.015,10.77,12.93,45.45,2.11,1.85,53.35,3.25,5.35,37.78
2013-10-31,Anaheim Ducks,Bruins,Ducks,1.052,9.83,17.12,36.48,2.11,0.92,69.58,5.59,6.23,47.27
2013-10-31,Nashville Predators,Coyotes,Predators,0.925,28.04,14.53,65.87,3.21,2.79,53.47,14.34,4.39,76.58
2013-10-31,Buffalo Sabres,Rangers,Sabres,0.975,23.63,33.88,41.08,0.0,0.99,0.00,14.92,17.56,45.94
2013-11-01,Colorado Avalanche,Stars,Avalanche,1.039,14.08,23.39,37.58,2.13,1.87,53.22,12.08,10.74,52.95
2013-11-01,Columbus Blue Jackets,Penguins,Blue Jackets,0.997,17.54,16.47,51.58,2.01,1.98,50.30,9.17,6.11,60.01
2013-11-01,St Louis Blues,Panthers,Blues,1.154,21.18,15.86,57.17,3.22,0.0,100.00,6.71,3.4,66.37
2013-11-01,Montreal Canadiens,Wild,Canadiens,0.919,15.27,20.58,42.6,2.02,3.82,34.62,7.13,3.88,64.77
2013-11-01,Washington Capitals,Flyers,Capitals,1.225,27.0,12.21,68.86,5.35,0.0,100.00,8.01,4.27,65.23
